University Name                              ,Program Name                  ,Location                                       ,Duration    ,Cost of Tuition (USD) ,Median Salary After Placement (USD) ,Application Deadline
Stanford University                          ,MS in Computer Science        ,"Stanford                     ,CA"             ,2 years     ,54000                 ,                             150000 ,December 15
Massachusetts Institute of Technology (MIT)  ,                              ,"Cambridge                    ,MA"             ,2 years     ,53000                 ,                             145000 ,December 15
University of California                     ,Berkeley                      ,"MS in Computer Science       ,Berkeley"       ,CA          ,2 years               ,                              45000 ,140000               ,December 15
Carnegie Mellon University                   ,MS in Robotics                ,"Pittsburgh                   ,PA"             ,1.5-2 years ,50000                 ,                             130000 ,December 1
University of Illinois Urbana-Champaign      ,MS in Computer Science        ,"Urbana                       ,IL"             ,2 years     ,46000                 ,                             125000 ,January 1
University of Washington                     ,MS in Data Science            ,"Seattle                      ,WA"             ,1-2 years   ,47000                 ,                             120000 ,December 15
California Institute of Technology (Caltech) ,MS in Applied Physics         ,"Pasadena                     ,CA"             ,2 years     ,55000                 ,                             135000 ,December 1
University of Michigan                       ,Ann Arbor                     ," ,Ann Arbor"                                  ,MI          ,2 years               ,                              49000 ,130000               ,January 1
Georgia Institute of Technology              ,MS in Computer Science        ,"Atlanta                      ,GA"             ,2 years     ,43000                 ,                             120000 ,December 15
Harvard University                           ,MS in Engineering Sciences    ,"Cambridge                    ,MA"             ,2 years     ,57000                 ,                             140000 ,January 1
University of California                     ,Los Angeles                   ,"MS in Robotics               ,Los Angeles"    ,CA          ,2 years               ,                              46000 ,125000               ,December 1
Princeton University                         ,MS in Data Science            ,"Princeton                    ,NJ"             ,2 years     ,50000                 ,                             130000 ,January 1
University of Texas at Austin                ,MS in Computer Science        ,"Austin                       ,TX"             ,1.5 years   ,48000                 ,                             127000 ,November 15
University of Wisconsin-Madison              ,                              ,"Madison                      ,WI"             ,2 years     ,45000                 ,                             115000 ,December 15
Cornell University                           ,MS in Mechanical Engineering  ,"Ithaca                       ,NY"             ,2 years     ,51000                 ,                             140000 ,December 1
University of Southern California            ,MS in Artificial Intelligence ,"Los Angeles                  ,CA"             ,2 years     ,52000                 ,                             135000 ,January 1
University of Chicago                        ,MS in Statistics              ,"Chicago                      ,IL"             ,2 years     ,46000                 ,                             120000 ,December 15
University of California                     ,San Diego                     ,"MS in Bioengineering         ,San Diego"      ,CA          ,2 years               ,                              49000 ,128000               ,November 15
University of California                     ,Irvine                        ,"MS in Bioengineering         ,Irvine"         ,CA          ,2 years               ,                              47000 ,125000               ,January 1
